combo_id,fold,val_auc,hp_d,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
15,2,0.7342,64,3,0.5,0.5,0.005,0.0001,700,64,0.0,10
15,3,0.7675,64,3,0.5,0.5,0.005,0.0001,700,64,0.0,10
15,4,0.7366,64,3,0.5,0.5,0.005,0.0001,700,64,0.0,10
16,0,0.8148,256,4,0.3,0.5,0.001,0.001,100,128,0.1,0
16,1,0.8339,256,4,0.3,0.5,0.001,0.001,100,128,0.1,0
16,2,0.8543,256,4,0.3,0.5,0.001,0.001,100,128,0.1,0
16,3,0.8065,256,4,0.3,0.5,0.001,0.001,100,128,0.1,0
16,4,0.8529,256,4,0.3,0.5,0.001,0.001,100,128,0.1,0
17,0,0.7517,128,1,0.5,0.3,0.005,0.0001,100,128,0.0,10
17,1,0.7791,128,1,0.5,0.3,0.005,0.0001,100,128,0.0,10
17,2,0.7749,128,1,0.5,0.3,0.005,0.0001,100,128,0.0,10
17,3,0.763,128,1,0.5,0.3,0.005,0.0001,100,128,0.0,10
17,4,0.7598,128,1,0.5,0.3,0.005,0.0001,100,128,0.0,10
18,0,0.7817,128,4,0.3,0.7,0.005,0.0001,500,64,0.0,10
18,1,0.8225,128,4,0.3,0.7,0.005,0.0001,500,64,0.0,10
18,2,0.7817,128,4,0.3,0.7,0.005,0.0001,500,64,0.0,10
18,3,0.7799,128,4,0.3,0.7,0.005,0.0001,500,64,0.0,10
18,4,0.8493,128,4,0.3,0.7,0.005,0.0001,500,64,0.0,10
19,0,0.7665,256,2,0.5,0.5,0.005,0.0001,100,128,0.0,0
19,1,0.7495,256,2,0.5,0.5,0.005,0.0001,100,128,0.0,0
19,2,0.7121,256,2,0.5,0.5,0.005,0.0001,100,128,0.0,0
19,3,0.7597,256,2,0.5,0.5,0.005,0.0001,100,128,0.0,0
19,4,0.7566,256,2,0.5,0.5,0.005,0.0001,100,128,0.0,0
20,0,0.7666,64,1,0.5,0.5,0.001,0.0001,700,128,0.0,0
20,1,0.7348,64,1,0.5,0.5,0.001,0.0001,700,128,0.0,0
20,2,0.7627,64,1,0.5,0.5,0.001,0.0001,700,128,0.0,0
20,3,0.749,64,1,0.5,0.5,0.001,0.0001,700,128,0.0,0
20,4,0.7463,64,1,0.5,0.5,0.001,0.0001,700,128,0.0,0
21,0,0.7734,64,2,0.5,0.7,0.001,0.001,100,128,0.0,0
21,1,0.7432,64,2,0.5,0.7,0.001,0.001,100,128,0.0,0
